var1_name,var2_name,line_order1,line_order2,line_order3,op1,op2,op3,result_emojis,result,model_input,failed_inputs,errors
a,b,first,second,third,sum,difference,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/869.txt,[],[]
a,b,first,second,third,sum,product,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/871.txt,[],[]
a,b,first,second,third,difference,sum,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/875.txt,[],[]
a,b,first,second,third,difference,product,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/879.txt,[],[]
a,b,first,second,third,product,sum,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/883.txt,[],[]
a,b,first,second,third,product,difference,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/885.txt,[],[]
a,b,first,third,second,sum,difference,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/923.txt,[],[]
a,b,first,third,second,sum,product,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/925.txt,[],[]
a,b,first,third,second,difference,sum,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/929.txt,[],[]
a,b,first,third,second,difference,product,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/933.txt,[],[]
a,b,first,third,second,product,sum,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/937.txt,[],[]
a,b,first,third,second,product,difference,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/939.txt,[],[]
a,b,second,first,third,sum,difference,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1031.txt,[],[]
a,b,second,first,third,sum,product,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1033.txt,[],[]
a,b,second,first,third,difference,sum,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1037.txt,[],[]
a,b,second,first,third,difference,product,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1041.txt,[],[]
a,b,second,first,third,product,sum,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1045.txt,[],[]
a,b,second,first,third,product,difference,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1047.txt,[],[]
a,b,second,third,first,sum,difference,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1139.txt,[],[]
a,b,second,third,first,sum,product,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1141.txt,[],[]
a,b,second,third,first,difference,sum,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1145.txt,[],[]
a,b,second,third,first,difference,product,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1149.txt,[],[]
a,b,second,third,first,product,sum,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1153.txt,[],[]
a,b,second,third,first,product,difference,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1155.txt,[],[]
a,b,third,first,second,sum,difference,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1247.txt,[],[]
a,b,third,first,second,sum,product,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1249.txt,[],[]
a,b,third,first,second,difference,sum,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1253.txt,[],[]
a,b,third,first,second,difference,product,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1257.txt,[],[]
a,b,third,first,second,product,sum,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1261.txt,[],[]
a,b,third,first,second,product,difference,sum,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1263.txt,[],[]
a,b,third,second,first,sum,difference,product,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1301.txt,[],[]
a,b,third,second,first,sum,product,difference,✅✅✅✅✅✅,pppppp,input/codex/arithmetic/1303.txt,[],[]
